,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
3181,-525.0,450,19.04761905,450.0,0,False,3,2,0,0,25.25,0.385,0.5,0.5,0.25,1,3,9,0,0,0,0,0,1,0,1,0,160.02,160.02,125,0,3,0,42.0,0.586666667,0.0,1.0,0.443333333,3,0,6,0,0,0,1,2,0,0,3,0,165.1,167.64,125,24,30,-2,-3,-2,-2,-3,3,0,-2,1,-5.08,-7.62,-6,-16.75,0.5,-0.5,0,130.0,950.0,1000.0,1200.0,125.0,1400.0
3235,-175.0,165,57.14285714,165.0,1,False,3,2,0,0,24.0,0.486,0.6,1.0,0.39799999999999996,1,3,15,0,0,0,2,0,0,0,2,0,167.64,167.64,125,1,0,0,35.375,0.3,0.25,1.625,0.35875,2,4,18,0,0,1,1,1,1,0,4,0,167.64,172.72,135,36,29,-1,0,-1,-2,1,-3,0,-1,-1,0.0,-5.08,7,-11.375,0.35,-0.625,0,150.0,260.0,565.0,1500.0,371.0,1125.0
3237,-430.0,380,23.25581395,380.0,0,False,3,0,2,0,43.75,0.5275,0.0,2.5,0.3875,2,1,12,0,0,2,0,1,0,0,3,0,165.1,165.1,125,0,1,0,35.88888889,0.32888888899999996,0.444444444,0.8888888890000001,0.165555556,3,2,21,2,0,0,3,3,1,0,7,1,162.56,165.1,125,30,25,0,1,-1,-4,1,-9,-2,-2,-1,2.54,0.0,5,7.86111111,-0.444444444,1.611111111,0,123.0,485.0,335.0,1860.0,353.0,1500.0
3284,195.0,-215,195.0,46.51162791,1,False,3,0,1,0,26.0,0.34333333299999996,0.333333333,5.333333333,0.573333333,1,1,9,0,0,0,2,0,0,0,2,1,162.56,165.1,125,0,1,0,37.77777778,0.415555556,0.222222222,2.0,0.33555555600000003,2,5,21,0,0,0,2,1,1,0,4,0,165.1,167.64,135,32,29,0,0,-1,-2,4,-12,0,-1,-1,-2.54,-2.54,3,-11.77777778,0.111111111,3.333333333,0,287.0,113.0,1300.0,461.0,771.0,1000.0
3310,-1450.0,1150,6.896551724,1150.0,0,True,5,0,3,0,52.6,0.45,0.6,1.0,0.391,3,3,29,0,0,2,4,1,0,0,7,1,160.02,160.02,125,0,6,0,69.0,0.518,0.3,4.0,0.39,6,2,38,6,0,1,5,1,1,0,8,0,160.02,167.64,125,28,33,0,-3,-3,-1,-1,-9,-6,0,-1,0.0,-7.62,-5,-16.4,0.3,-3.0,0,120.0,1500.0,220.0,2000.0,260.0,1500.0
3348,230.0,-250,230.0,40.0,0,False,3,1,0,0,37.33333333,0.65,1.0,4.333333333,0.6266666670000001,2,1,7,0,0,0,1,1,0,0,2,1,170.18,167.64,125,1,0,0,28.6,0.37799999999999995,0.4,0.6,0.24,2,2,14,1,0,1,0,1,1,0,3,0,167.64,167.64,125,30,22,0,0,0,-1,1,-7,-1,0,-1,2.54,0.0,8,8.73333333,0.6,3.733333333,0,360.0,135.0,1260.0,800.0,800.0,235.0
3388,290.0,-320,290.0,31.25,0,False,3,0,2,0,30.0,0.415,0.5,5.5,0.53,2,0,6,0,0,0,2,0,0,0,2,1,162.56,162.56,125,0,1,0,8.5,0.335,0.25,1.25,0.1875,1,2,7,0,0,0,1,0,1,0,2,0,165.1,170.18,125,29,31,0,1,1,0,2,-1,0,0,-1,-2.54,-7.62,-2,21.5,0.25,4.25,0,541.0,-130.0,550.0,1225.0,2225.0,300.0
3417,-345.0,315,28.98550725,315.0,0,False,3,1,0,0,43.5,0.27,0.0,6.0,0.82,1,1,6,0,0,1,0,0,0,0,1,0,165.1,165.1,125,1,0,0,48.16666667,0.42666666700000005,0.333333333,0.333333333,0.166666667,4,2,13,0,0,0,1,3,0,0,4,0,160.02,170.18,135,24,28,0,0,-3,-3,1,-7,0,-3,0,5.08,-5.08,-4,-4.66666667,-0.333333333,5.666666667,0,140.0,433.0,1422.0,1120.0,100.0,905.0
3464,-690.0,560,14.49275362,560.0,0,True,5,0,3,0,43.33333333,0.45333333299999995,0.666666667,3.333333333,0.45,3,0,9,0,0,0,2,1,0,0,3,0,162.56,165.1,125,0,5,0,61.88888889,0.507777778,0.333333333,4.444444444,0.433333333,5,2,33,5,0,1,4,1,1,0,7,0,160.02,167.64,125,27,29,0,-2,-2,-4,2,-24,-5,0,-1,2.54,-2.54,-2,-18.55555556,0.333333334,-1.111111111,0,-105.0,850.0,311.0,1450.0,460.0,1150.0
3477,-570.0,480,17.54385965,480.0,0,False,3,0,1,0,33.75,0.4375,0.5,0.75,0.3,2,1,12,1,0,1,0,1,1,0,3,0,167.64,167.64,125,0,1,0,41.0,0.354,0.0,0.6,0.15,3,1,12,2,0,0,1,3,0,0,4,0,160.02,167.64,135,29,30,0,0,-1,-1,0,0,-1,-2,1,7.62,0.0,-1,-7.25,0.5,0.15,0,140.0,625.0,1250.0,1300.0,120.0,1150.0
