,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
801,220.0,-260,220.0,38.46153846,0,False,3,1,0,0,4.18,0.48,1.1,0.67,0.3,9,3,34,3,0,0,2,6,7,0,15,1,190.5,195.58,205,1,0,0,3.45,0.48,0.3,1.16,0.52,4,5,29,0,0,0,3,1,2,0,6,0,187.96,198.12,205,36,34,0,0,5,9,2,5,3,5,5,2.54,-2.54,2,0.73,0.8,-0.49,0,450.0,349.0,1000.0,280.0,450.0,236.0
810,-235.0,195,42.55319149,195.0,1,False,5,0,2,0,3.44,0.49,0.3,1.18,0.52,4,5,36,0,0,1,3,2,2,0,8,0,187.96,198.12,205,0,4,0,4.45,0.46,0.0,4.98,0.5,4,4,35,0,0,0,7,3,0,0,10,0,190.5,200.66,205,30,36,0,-2,0,-2,-1,1,0,-1,2,-2.54,-2.54,-6,-1.01,0.3,-3.8,0,160.0,550.0,1000.0,750.0,250.0,360.0
819,-400.0,325,25.0,325.0,0,False,3,2,0,0,1.6,0.43,0.0,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,0,190.5,200.66,205,1,0,0,3.21,0.54,0.2,3.03,0.39,2,4,18,0,0,0,4,0,0,0,4,0,182.88,190.5,205,29,33,-1,0,-2,-4,2,-12,0,0,0,7.62,10.16,-4,-1.61,-0.2,-3.03,2,-135.0,1200.0,545.0,1065.0,425.0,590.0
842,145.0,-165,145.0,60.60606061,1,False,3,1,0,0,2.02,0.39,0.0,0.67,0.2,0,1,3,0,0,0,0,0,0,0,0,0,182.88,187.96,205,2,0,0,3.05,0.44,0.1,0.09,0.16,4,7,35,0,0,2,2,5,1,0,10,1,187.96,190.5,205,33,26,1,0,-4,-10,6,-32,0,-5,-1,-5.08,-2.54,7,-1.03,-0.1,0.58,2,350.0,250.0,1300.0,310.0,350.0,420.0
863,-120.0,100,83.33333333,100.0,1,False,3,1,0,0,4.57,0.39,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,1,195.58,210.82,205,1,0,0,2.61,0.45,0.0,3.42,0.5,1,1,4,0,0,0,0,1,0,0,0,0,182.88,193.04,205,27,27,0,0,-1,0,0,-1,0,-1,0,12.7,17.78,0,1.96,0.0,-3.42,2,415.0,325.0,1100.0,1500.0,213.0,255.0
870,-460.0,365,21.73913043,365.0,0,True,5,0,6,0,5.03,0.52,0.4,0.39,0.16,6,0,10,0,0,1,1,3,1,0,6,1,193.04,195.58,205,0,16,0,4.31,0.57,0.5,1.9,0.46,16,1,68,14,0,1,8,5,5,0,19,0,193.04,213.36,205,32,30,0,-10,-10,-13,1,-58,-14,-2,-4,0.0,-17.78,2,0.72,-0.1,-1.51,0,190.0,750.0,260.0,1200.0,150.0,430.0
885,-190.0,165,52.63157895,165.0,0,False,3,1,0,0,2.29,0.4,0.5,1.85,0.3,3,4,20,0,0,0,2,3,2,0,7,0,177.8,185.42,205,3,0,0,4.88,0.45,0.0,0.39,0.22,3,3,13,1,0,1,0,2,0,0,3,0,187.96,190.5,205,29,36,2,0,0,4,-1,7,-1,1,2,-10.16,-5.08,-7,-2.59,0.5,1.46,0,320.0,385.0,2000.0,545.0,145.0,560.0
914,245.0,-290,245.0,34.48275862,0,False,3,0,0,0,5.23,0.52,0.0,1.67,0.3,0,0,0,0,0,0,0,0,0,0,0,0,190.5,198.12,205,0,0,0,6.59,0.43,1.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,193.04,198.12,205,25,24,0,0,0,0,0,0,0,0,0,-2.54,0.0,1,-1.36,-1.1,1.67,2,520.0,250.0,1675.0,320.0,380.0,275.0
931,-115.0,-105,86.95652174,95.23809524,0,False,3,0,1,0,4.86,0.57,1.9,1.06,0.38,5,2,17,0,0,0,0,3,4,0,7,0,190.5,195.58,205,0,2,0,3.41,0.44,1.0,2.0,0.38,8,6,43,1,0,0,2,7,6,0,15,0,187.96,193.04,205,39,27,0,-1,-3,-8,4,-26,-1,-4,-2,2.54,2.54,12,1.45,0.9,-0.94,0,1000.0,550.0,180.0,550.0,600.0,200.0
934,-105.0,-115,95.23809524,86.95652174,0,False,3,0,2,0,4.56,0.57,2.3,0.58,1.0,2,0,4,0,0,0,0,1,1,0,2,0,187.96,187.96,205,1,0,0,4.18,0.52,2.4,4.42,0.57,4,3,11,0,0,0,0,1,4,0,5,0,190.5,195.58,205,32,23,1,2,-2,-3,3,-7,0,0,-3,-2.54,-7.62,9,0.38,-0.1,-3.84,0,500.0,600.0,240.0,800.0,700.0,175.0
