,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
3136,-815.0,645,12.26993865,645.0,0,False,3,0,3,0,17.66666667,0.47,0.333333333,0.666666667,0.143333333,3,0,5,0,0,1,0,0,1,0,3,0,177.8,180.34,170,0,5,0,42.125,0.42625,0.0,2.25,0.505,5,2,21,0,0,0,4,2,0,0,6,0,190.5,203.2,170,27,33,0,-2,-2,-3,2,-16,0,-2,1,-12.7,-22.86,-6,-24.45833333,0.333333333,-1.5833333330000001,2,155.0,1650.0,1500.0,1005.0,-110.0,2300.0
3144,-185.0,170,54.05405405,170.0,0,False,3,0,5,0,37.4,0.452,0.4,1.2,0.4,5,0,11,1,0,2,1,0,2,0,5,1,175.26,180.34,185,0,1,0,25.0,0.601666667,0.0,0.5,0.166666667,2,2,11,0,0,0,0,4,0,0,4,0,175.26,187.96,170,32,23,0,4,3,1,2,0,1,-4,2,0.0,-7.62,9,12.4,0.4,0.7,0,210.0,280.0,1200.0,650.0,240.0,700.0
3147,-140.0,130,71.42857143,130.0,1,False,3,0,1,0,38.38888889,0.473888889,0.27777777800000003,0.611111111,0.332777778,7,6,43,1,0,0,4,6,1,1,12,0,175.26,177.8,170,0,2,0,27.25,0.5375,0.0,1.0,0.25,2,1,7,0,0,1,0,2,0,0,3,0,182.88,185.42,170,25,31,0,-1,5,9,-5,36,1,5,1,-7.62,-7.62,-6,11.13888889,0.27777777800000003,-0.38888888899999996,0,230.0,240.0,750.0,800.0,275.0,500.0
3158,140.0,-150,140.0,66.66666667,1,False,3,0,2,0,14.0,0.35333333299999997,0.0,0.333333333,0.333333333,2,1,5,0,0,0,0,2,0,0,2,0,180.34,185.42,170,0,1,0,40.75,0.4125,0.25,1.25,0.4325,2,1,10,0,0,0,2,0,1,0,3,0,182.88,190.5,170,28,23,0,1,0,-1,0,-5,0,2,-1,-2.54,-5.08,5,-26.75,-0.25,-0.916666667,2,305.0,328.0,520.0,1375.0,821.0,170.0
3170,160.0,-170,160.0,58.82352941,0,False,3,0,1,0,67.4,0.324,0.0,0.2,0.1,2,2,15,0,0,1,2,0,0,0,3,1,177.8,190.5,170,0,2,0,33.0,0.4,0.5,2.0,0.335,2,0,5,0,0,1,0,0,1,0,2,0,185.42,190.5,170,27,27,0,-1,0,1,-2,10,0,0,-1,-7.62,0.0,0,34.4,-0.5,-1.8,2,267.0,135.0,945.0,1460.0,715.0,390.0
3171,167.0,-178,167.0,56.17977528,1,False,3,3,0,0,30.6,0.428,0.0,0.0,0.0,1,4,13,0,0,0,1,0,0,0,1,0,180.34,182.88,170,2,0,0,26.45454545,0.555454545,0.454545455,2.545454545,0.486363636,4,5,31,0,0,3,1,2,0,0,6,0,170.18,180.34,170,31,28,-1,0,-3,-5,1,-18,0,-2,0,10.16,2.54,3,4.14545455,-0.454545455,-2.545454545,2,240.0,110.0,1440.0,1270.0,850.0,405.0
3186,-200.0,185,50.0,185.0,0,False,3,1,0,0,25.0,0.44,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,185.42,187.96,170,1,0,0,10.0,0.535,0.5,0.5,0.1,1,1,2,0,0,0,0,1,0,0,1,0,182.88,185.42,185,27,31,0,0,-1,-1,0,-1,0,-1,0,2.54,2.54,-4,15.0,-0.5,-0.5,2,443.0,378.0,943.0,400.0,130.0,1040.0
3192,-400.0,325,25.0,325.0,0,False,3,2,0,0,49.0,0.4,0.5,1.0,0.25,0,2,6,0,0,0,0,0,0,0,0,0,185.42,187.96,170,1,0,0,14.0,0.555,0.75,0.25,0.0825,1,4,13,0,0,0,0,2,2,0,4,0,182.88,187.96,170,30,25,-1,0,-1,-4,2,-7,0,-2,-2,2.54,0.0,5,35.0,-0.25,0.75,2,651.0,575.0,150.0,1500.0,181.0,550.0
3198,160.0,-170,160.0,58.82352941,1,False,3,0,1,0,50.83333333,0.443333333,0.166666667,0.666666667,0.166666667,2,3,16,0,0,0,2,1,0,0,3,0,187.96,190.5,170,1,0,0,8.0,0.38,0.0,0.0,0.0,0,1,3,1,0,0,0,0,0,0,0,1,182.88,190.5,185,25,30,1,1,2,3,-2,13,-1,1,0,5.08,0.0,-5,42.83333333,0.166666667,0.666666667,2,465.0,319.0,450.0,770.0,400.0,175.0
3206,230.0,-250,230.0,40.0,1,False,3,0,1,0,23.875,0.6525,1.125,0.125,0.125,3,3,16,0,0,0,1,2,2,0,5,0,187.96,195.58,170,1,0,0,13.375,0.41125,0.25,1.0,0.50375,1,4,12,0,0,0,1,1,1,1,4,1,182.88,177.8,185,32,31,1,1,2,1,1,4,0,0,1,5.08,17.78,1,10.5,0.875,-0.875,2,325.0,331.0,1825.0,310.0,1285.0,195.0
